tick,pack_id,pack_ext_id,event_type,event_type_u8,from_location_id,to_location_id,from_location,to_location
701,0,pack_001,VERIFY,0,2,,loc_ph_de,—
703,0,pack_001,VERIFY,0,2,,loc_ph_de,—
704,0,pack_001,VERIFY,0,2,,loc_ph_de,—
707,0,pack_001,VERIFY,0,2,,loc_ph_de,—
709,0,pack_001,VERIFY,0,2,,loc_ph_de,—
710,0,pack_001,VERIFY,0,2,,loc_ph_de,—
712,0,pack_001,VERIFY,0,2,,loc_ph_de,—
713,0,pack_001,VERIFY,0,2,,loc_ph_de,—
714,0,pack_001,VERIFY,0,2,,loc_ph_de,—
716,0,pack_001,VERIFY,0,2,,loc_ph_de,—
720,0,pack_001,VERIFY,0,2,,loc_ph_de,—
724,0,pack_001,VERIFY,0,2,,loc_ph_de,—
725,0,pack_001,VERIFY,0,2,,loc_ph_de,—
726,0,pack_001,VERIFY,0,2,,loc_ph_de,—
726,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
727,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
728,0,pack_001,VERIFY,0,2,,loc_ph_de,—
729,0,pack_001,VERIFY,0,2,,loc_ph_de,—
731,0,pack_001,VERIFY,0,2,,loc_ph_de,—
733,0,pack_001,VERIFY,0,2,,loc_ph_de,—
734,0,pack_001,VERIFY,0,2,,loc_ph_de,—
735,0,pack_001,VERIFY,0,2,,loc_ph_de,—
738,0,pack_001,VERIFY,0,2,,loc_ph_de,—
740,0,pack_001,VERIFY,0,2,,loc_ph_de,—
741,0,pack_001,VERIFY,0,2,,loc_ph_de,—
743,0,pack_001,VERIFY,0,2,,loc_ph_de,—
747,0,pack_001,VERIFY,0,2,,loc_ph_de,—
748,0,pack_001,VERIFY,0,2,,loc_ph_de,—
750,0,pack_001,VERIFY,0,2,,loc_ph_de,—
751,0,pack_001,VERIFY,0,2,,loc_ph_de,—
756,0,pack_001,VERIFY,0,2,,loc_ph_de,—
757,0,pack_001,VERIFY,0,2,,loc_ph_de,—
759,0,pack_001,VERIFY,0,2,,loc_ph_de,—
760,0,pack_001,VERIFY,0,2,,loc_ph_de,—
762,0,pack_001,VERIFY,0,2,,loc_ph_de,—
763,0,pack_001,VERIFY,0,2,,loc_ph_de,—
764,0,pack_001,VERIFY,0,2,,loc_ph_de,—
767,0,pack_001,VERIFY,0,2,,loc_ph_de,—
768,0,pack_001,VERIFY,0,2,,loc_ph_de,—
769,0,pack_001,VERIFY,0,2,,loc_ph_de,—
774,0,pack_001,VERIFY,0,2,,loc_ph_de,—
778,0,pack_001,VERIFY,0,2,,loc_ph_de,—
781,0,pack_001,VERIFY,0,2,,loc_ph_de,—
782,0,pack_001,VERIFY,0,2,,loc_ph_de,—
788,0,pack_001,VERIFY,0,2,,loc_ph_de,—
789,0,pack_001,VERIFY,0,2,,loc_ph_de,—
790,0,pack_001,VERIFY,0,2,,loc_ph_de,—
791,0,pack_001,VERIFY,0,2,,loc_ph_de,—
792,0,pack_001,VERIFY,0,2,,loc_ph_de,—
794,0,pack_001,VERIFY,0,2,,loc_ph_de,—
795,0,pack_001,VERIFY,0,2,,loc_ph_de,—
797,0,pack_001,VERIFY,0,2,,loc_ph_de,—
798,0,pack_001,VERIFY,0,2,,loc_ph_de,—
800,0,pack_001,VERIFY,0,2,,loc_ph_de,—
802,0,pack_001,VERIFY,0,2,,loc_ph_de,—
803,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
804,0,pack_001,VERIFY,0,2,,loc_ph_de,—
805,0,pack_001,VERIFY,0,2,,loc_ph_de,—
808,0,pack_001,VERIFY,0,2,,loc_ph_de,—
809,0,pack_001,VERIFY,0,2,,loc_ph_de,—
810,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
811,0,pack_001,VERIFY,0,2,,loc_ph_de,—
815,0,pack_001,VERIFY,0,2,,loc_ph_de,—
816,0,pack_001,VERIFY,0,2,,loc_ph_de,—
821,0,pack_001,VERIFY,0,2,,loc_ph_de,—
822,0,pack_001,VERIFY,0,2,,loc_ph_de,—
823,0,pack_001,VERIFY,0,2,,loc_ph_de,—
824,0,pack_001,VERIFY,0,2,,loc_ph_de,—
826,0,pack_001,VERIFY,0,2,,loc_ph_de,—
827,0,pack_001,VERIFY,0,2,,loc_ph_de,—
828,0,pack_001,VERIFY,0,2,,loc_ph_de,—
829,0,pack_001,VERIFY,0,2,,loc_ph_de,—
831,0,pack_001,VERIFY,0,2,,loc_ph_de,—
835,0,pack_001,VERIFY,0,2,,loc_ph_de,—
838,0,pack_001,VERIFY,0,2,,loc_ph_de,—
840,0,pack_001,VERIFY,0,2,,loc_ph_de,—
841,0,pack_001,VERIFY,0,2,,loc_ph_de,—
